,mouse,session,unit_no,ch,stim_pair,nnID,A,B,tfA,tfB,eu,freq,temp,d
0,2022-02-11,21-16-17,7,1,"(('C', '-4'), ('H', '2'))",1,C_023460_semitone_-4,H_023460_semitone_2,0.055,0.065,40.63432813715035,-0.04044128130540579,-0.01352925811717954,39.034049952758814
1,2022-02-11,21-16-17,7,1,"(('A', '0'), ('F', '-6'))",1,F_098580_semitone_-6,A_098580_semitone_0,0.065,0.055,47.79046788521767,0.2531023123074676,-0.32169088251935823,37.06655729764215
2,2022-02-11,21-16-17,7,1,"(('B', '2'), ('D', '-4'))",1,D_051680_semitone_-4,B_051680_semitone_2,0.085,0.085,19.548787801851343,-0.050643109562867286,0.981045168730664,47.116610660595605
3,2022-02-11,21-16-17,7,1,"(('E', '-6'), ('G', '6'))",1,E_014310_semitone_-6,G_014310_semitone_6,0.035,0.035,52.38516398126167,-0.4061902752657381,0.8975204184088631,81.32778672626704
4,2022-02-11,21-16-17,19,7,"(('B', '2'), ('D', '-4'))",2,B_051680_semitone_2,D_051680_semitone_-4,0.115,0.095,19.548787801851343,-0.050643109562867286,0.981045168730664,47.116610660595605
5,2022-02-22,19-03-37,80,19,AI,3,A_015380,I_098960,0.055,0.065,39.77240280971456,0.33240581924388135,0.0015441427062249035,66.7403346640885
6,2022-02-22,19-03-37,80,19,BH,3,B_093840,H_023900,0.045,0.035,38.681939767427195,0.6625182916582808,-0.7127298819525231,40.379343886042484
7,2022-02-22,19-03-37,80,19,CG,3,C_110710,G_014740,0.095,0.055,40.56117533842282,0.49492127850167417,-0.7246507613816286,21.68451911643397
8,2022-02-22,21-54-16,106,19,"(('Y', '-6'), ('Z', '6'))",3,Y_098850_semitone_-6,Z_094200_semitone_6,0.045,0.005,53.99564572258347,-0.34716148242975314,-0.7173170730006431,143.22986238327
9,2022-02-22,19-03-37,85,23,AI,4,I_098960,A_015380,0.135,0.055,38.00228178674543,0.345759318861803,-0.2963989288170796,67.99750894953668
10,2022-02-22,19-03-37,85,23,BH,4,H_023900,B_093840,0.035,0.045,38.681939767427195,0.6625182916582808,-0.712729881952523,40.379343886042484
11,2022-02-22,19-03-37,85,23,CG,4,G_014740,C_110710,0.055,0.095,40.56117533842282,0.49492127850167417,-0.7246507613816288,21.68451911643397
12,2022-02-22,21-54-16,119,23,"(('Y', '-6'), ('Z', '6'))",4,Y_098850_semitone_-6,Z_094200_semitone_6,0.055,0.005,53.06350517599087,-0.3389794521126095,-0.4246489323956428,143.9498233589712
13,2022-02-22,21-54-16,119,23,"(('E', '-6'), ('F', '6'))",4,F_073660_semitone_6,E_009590_semitone_-6,0.065,0.095,52.31638223661176,-0.08096268129902635,0.11030385084566564,95.54580084081897
14,2022-02-22,19-03-37,6,3,AI,5,I_098960,A_015380,0.085,0.085,34.30221189264898,0.23940644914844658,0.3176739664439686,67.29198048624947
15,2022-02-22,19-03-37,6,3,BH,5,H_023900,B_093840,0.065,0.075,39.077456911066335,0.7104807359084199,-0.6166367405469749,2.0709458905563713
16,2022-02-22,21-54-16,33,6,"(('Y', '-6'), ('Z', '6'))",5,Y_098850_semitone_-6,Z_094200_semitone_6,0.125,0.085,48.37503307531571,-0.2243156651349414,-0.20958579851823406,86.7119703297926
17,2022-02-22,21-54-16,33,6,"(('J', '-6'), ('X', '6'))",5,J_094200_semitone_-6,X_090180_semitone_6,0.135,0.065,47.59833838656663,-0.36532492969742075,0.3769158271413408,108.22834356025184
