,mouse,session,nnID,stim_pair,A,B,delay,delayB,delayA,dists
0,2022-02-11,21-16-17,1,"(('C', '-4'), ('H', '2'))",C_023460_semitone_-4,H_023460_semitone_2,10,10,0,48.10404507384429
1,2022-02-11,21-16-17,1,"(('A', '0'), ('F', '-6'))",F_098580_semitone_-6,A_098580_semitone_0,5,5,0,56.69196380422606
2,2022-02-11,21-16-17,1,"(('B', '2'), ('D', '-4'))",B_051680_semitone_2,D_051680_semitone_-4,0,0,0,17.67240687881426
3,2022-02-11,21-16-17,1,"(('E', '-6'), ('G', '6'))",G_014310_semitone_6,E_014310_semitone_-6,5,5,0,69.60383890786508
4,2022-02-11,21-16-17,2,"(('B', '2'), ('D', '-4'))",D_051680_semitone_-4,B_051680_semitone_2,5,5,0,17.680493015208306
5,2022-02-22,19-03-37,3,AI,A_015380,I_098960,20,20,0,46.466117878005704
6,2022-02-22,19-03-37,3,BH,B_093840,H_023900,-20,0,20,61.088336374318374
7,2022-02-22,19-03-37,3,CG,C_110710,G_014740,20,20,0,40.141919190433015
8,2022-02-22,21-54-16,3,"(('Y', '-6'), ('Z', '6'))",Z_094200_semitone_6,Y_098850_semitone_-6,20,20,0,72.16765533884127
9,2022-02-22,19-03-37,4,AI,A_015380,I_098960,0,0,0,49.272170866820844
10,2022-02-22,19-03-37,4,BH,B_093840,H_023900,-20,0,20,61.088336374318374
11,2022-02-22,19-03-37,4,CG,C_110710,G_014740,10,10,0,39.53997316682595
12,2022-02-22,21-54-16,4,"(('Y', '-6'), ('Z', '6'))",Z_094200_semitone_6,Y_098850_semitone_-6,-10,0,10,72.64335516217555
13,2022-02-22,21-54-16,4,"(('E', '-6'), ('F', '6'))",E_009590_semitone_-6,F_073660_semitone_6,-20,0,20,69.82948781430035
14,2022-02-22,19-03-37,5,AI,A_015380,I_098960,0,0,0,49.272170866820844
15,2022-02-22,19-03-37,5,BH,B_093840,H_023900,-20,0,20,61.088336374318374
16,2022-02-22,21-54-16,5,"(('Y', '-6'), ('Z', '6'))",Z_094200_semitone_6,Y_098850_semitone_-6,-20,0,20,72.59950335506677
17,2022-02-22,21-54-16,5,"(('J', '-6'), ('X', '6'))",X_090180_semitone_6,J_094200_semitone_-6,0,0,0,54.69024838838927
18,2022-02-22,21-54-16,6,"(('Y', '-6'), ('Z', '6'))",Z_094200_semitone_6,Y_098850_semitone_-6,0,0,0,72.62700046813552
19,2022-02-22,21-54-16,6,"(('E', '-6'), ('F', '6'))",E_009590_semitone_-6,F_073660_semitone_6,-20,0,20,69.82948781430035
20,2022-02-22,21-54-16,6,"(('J', '-6'), ('X', '6'))",X_090180_semitone_6,J_094200_semitone_-6,-20,0,20,54.71092641539333
21,2022-03-04,17-21-03,7,BD,B_111510,D_006070,0,0,0,27.031097310022822
22,2022-03-04,17-21-03,7,BE,B_111510,E_073300,-10,0,10,46.5513630304767
23,2022-03-04,17-21-03,7,CE,C_106740,E_073300,-10,0,10,49.28832969407536
24,2022-03-04,19-41-03,7,"(('F', '3'), ('G', '-3'))",F_006070_semitone_3,G_073300_semitone_-3,20,20,0,54.140758223830886
25,2022-03-04,19-41-03,7,"(('A', '-2'), ('H', '2'))",A_006070_semitone_-2,H_073300_semitone_2,-20,0,20,54.5361450754393
26,2022-03-04,19-41-03,7,"(('A', '-2'), ('F', '3'))",F_006070_semitone_3,A_006070_semitone_-2,10,10,0,42.98826383970055
27,2022-03-04,19-41-03,7,"(('G', '-3'), ('H', '2'))",G_073300_semitone_-3,H_073300_semitone_2,-20,0,20,59.92679506325643
28,2022-03-04,20-14-56,7,IN,I_100690,N_008000,-20,0,20,44.04006803723302
29,2022-03-04,20-14-56,7,IO,I_100690,O_006510,20,20,0,53.74686202436492
30,2022-03-04,20-14-56,7,JM,J_098850,M_015380,20,20,0,55.01008110069967
31,2022-03-04,20-14-56,7,JY,J_098850,Y_036610,-20,0,20,51.552275558529224
32,2022-03-04,20-14-56,7,JZ,J_098850,Z_073300,10,10,0,57.00304622398989
33,2022-03-04,20-14-56,7,KY,K_008510,Y_036610,-20,0,20,50.81929415187863
34,2022-03-04,20-14-56,7,LM,L_091580,M_015380,20,20,0,59.09334441354902
35,2022-03-04,20-14-56,7,LZ,L_091580,Z_073300,0,0,0,57.46823545538278
36,2022-03-04,17-21-03,8,BD,B_111510,D_006070,0,0,0,27.031097310022822
37,2022-03-04,17-21-03,8,BE,B_111510,E_073300,-20,0,20,47.10859732790963
38,2022-03-04,17-21-03,8,CE,C_106740,E_073300,10,10,0,49.326127980440674
39,2022-03-04,19-41-03,8,"(('F', '3'), ('G', '-3'))",F_006070_semitone_3,G_073300_semitone_-3,-20,0,20,47.10856836218221
40,2022-03-04,19-41-03,8,"(('A', '-2'), ('H', '2'))",A_006070_semitone_-2,H_073300_semitone_2,-20,0,20,54.5361450754393
41,2022-03-04,19-41-03,8,"(('A', '-2'), ('F', '3'))",F_006070_semitone_3,A_006070_semitone_-2,-10,0,10,40.361946137706454
42,2022-03-04,19-41-03,8,"(('G', '-3'), ('H', '2'))",G_073300_semitone_-3,H_073300_semitone_2,-20,0,20,59.92679506325643
43,2022-03-04,20-14-56,8,IN,I_100690,N_008000,-20,0,20,44.04006803723302
44,2022-03-04,20-14-56,8,IO,I_100690,O_006510,0,0,0,53.31969002918208
45,2022-03-04,20-14-56,8,JM,J_098850,M_015380,-10,0,10,52.122941727483344
46,2022-03-04,20-14-56,8,JZ,J_098850,Z_073300,10,10,0,57.00304622398989
47,2022-03-04,20-14-56,8,LM,L_091580,M_015380,0,0,0,59.22070526099043
48,2022-03-04,20-14-56,8,LZ,L_091580,Z_073300,-10,0,10,59.45148092242897
49,2022-03-04,17-21-03,9,BD,B_111510,D_006070,-20,0,20,30.754488174175446
50,2022-03-04,17-21-03,9,BE,B_111510,E_073300,-20,0,20,47.10859732790963
51,2022-03-04,17-21-03,9,CE,C_106740,E_073300,-20,0,20,49.34726488698283
52,2022-03-04,19-41-03,9,"(('F', '3'), ('G', '-3'))",F_006070_semitone_3,G_073300_semitone_-3,-20,0,20,47.10856836218221
53,2022-03-04,19-41-03,9,"(('A', '-2'), ('H', '2'))",A_006070_semitone_-2,H_073300_semitone_2,-20,0,20,54.5361450754393
54,2022-03-04,19-41-03,9,"(('A', '-2'), ('F', '3'))",F_006070_semitone_3,A_006070_semitone_-2,-10,0,10,40.361946137706454
55,2022-03-04,19-41-03,9,"(('G', '-3'), ('H', '2'))",G_073300_semitone_-3,H_073300_semitone_2,-20,0,20,59.92679506325643
56,2022-03-04,20-14-56,9,IN,I_100690,N_008000,-20,0,20,44.04006803723302
57,2022-03-04,20-14-56,9,IO,I_100690,O_006510,0,0,0,53.31969002918208
58,2022-03-04,20-14-56,9,JM,J_098850,M_015380,-10,0,10,52.122941727483344
59,2022-03-04,20-14-56,9,JY,J_098850,Y_036610,-20,0,20,51.552275558529224
60,2022-03-04,20-14-56,9,JZ,J_098850,Z_073300,10,10,0,57.00304622398989
61,2022-03-04,20-14-56,9,KY,K_008510,Y_036610,0,0,0,49.74094570084365
62,2022-03-04,20-14-56,9,LM,L_091580,M_015380,0,0,0,59.22070526099043
63,2022-03-04,20-14-56,9,LZ,L_091580,Z_073300,-10,0,10,59.45148092242897
64,2022-03-08,17-19-19,10,AG,A_026430,G_011500,20,20,0,66.87386698923889
65,2022-03-08,17-19-19,10,DG,D_000650,G_011500,20,20,0,59.64691638161821
66,2022-03-08,17-19-19,10,KN,K_073050,N_094200,-20,0,20,58.36049771355921
67,2022-03-08,17-19-19,10,KR,K_073050,R_091720,20,20,0,49.730450447744595
68,2022-03-08,17-19-19,10,LO,L_014280,O_012390,0,0,0,62.72160126990634
69,2022-03-08,17-19-19,10,MQ,M_101650,Q_045180,0,0,0,54.95206033646719
70,2022-03-08,20-42-19,10,"(('B', '-6'), ('E', '0'))",E_014280_semitone_0,B_012390_semitone_-6,0,0,0,58.50297488096605
71,2022-03-08,20-42-19,10,"(('H', '-6'), ('Y', '2'))",Y_026430_semitone_2,H_045180_semitone_-6,10,10,0,50.761087429195875
72,2022-03-08,20-42-19,10,"(('F', '6'), ('X', '-4'))",F_014280_semitone_6,X_014280_semitone_-4,-10,0,10,74.9170707126975
73,2022-03-08,20-42-19,10,"(('C', '0'), ('Z', '-6'))",Z_000650_semitone_-6,C_012390_semitone_0,20,20,0,59.73298446977144
74,2022-03-08,20-42-19,10,"(('C', '0'), ('I', '-6'))",I_091720_semitone_-6,C_012390_semitone_0,0,0,0,55.60730532294499
75,2022-03-08,20-42-19,10,"(('F', '6'), ('J', '-4'))",J_094200_semitone_-4,F_014280_semitone_6,-10,0,10,75.26778734318839
76,2022-03-08,20-42-19,11,"(('B', '-6'), ('E', '0'))",E_014280_semitone_0,B_012390_semitone_-6,0,0,0,58.50297488096605
77,2022-03-08,20-42-19,11,"(('H', '-6'), ('Y', '2'))",Y_026430_semitone_2,H_045180_semitone_-6,-20,0,20,50.075994256654354
78,2022-03-08,20-42-19,11,"(('F', '6'), ('X', '-4'))",F_014280_semitone_6,X_014280_semitone_-4,-20,0,20,76.09182039031347
79,2022-03-08,20-42-19,11,"(('C', '0'), ('Z', '-6'))",Z_000650_semitone_-6,C_012390_semitone_0,10,10,0,59.22491426812856
80,2022-03-08,20-42-19,11,"(('C', '0'), ('I', '-6'))",I_091720_semitone_-6,C_012390_semitone_0,-20,0,20,57.160389373542095
81,2022-03-08,20-42-19,11,"(('F', '6'), ('J', '-4'))",J_094200_semitone_-4,F_014280_semitone_6,-10,0,10,75.26778734318839
82,2022-03-08,17-19-19,12,AG,A_026430,G_011500,10,10,0,65.40642009487406
83,2022-03-08,17-19-19,12,DG,D_000650,G_011500,-10,0,10,50.205250778152475
84,2022-03-08,17-19-19,12,KN,K_073050,N_094200,10,10,0,57.06445584654818
85,2022-03-08,17-19-19,12,KR,K_073050,R_091720,10,10,0,51.758094878951624
86,2022-03-08,17-19-19,12,LO,L_014280,O_012390,10,10,0,62.47374028361618
87,2022-03-08,17-19-19,12,MQ,M_101650,Q_045180,20,20,0,53.756151638881654
88,2022-03-11,20-19-27,13,DF,D_003760,F_023880,-20,0,20,57.91752086810786
89,2022-03-11,20-19-27,13,HJ,H_009840,J_073060,-20,0,20,50.11716420734694
90,2022-03-11,20-19-27,14,DF,D_003760,F_023880,-10,0,10,56.40465164825041
91,2022-03-11,20-19-27,14,HJ,H_009840,J_073060,0,0,0,52.644751816316365
92,2022-03-11,21-06-17,14,"(('D', '-2'), ('F', '1'))",D_003760_semitone_-2,F_023880_semitone_1,20,20,0,53.071926072506855
93,2022-03-11,21-06-17,14,"(('H', '1'), ('J', '-2'))",H_009840_semitone_1,J_073060_semitone_-2,-20,0,20,54.80736825087408
94,2022-03-11,21-47-32,14,"(('D', '-2'), ('F', '0'))",D_003760_semitone_-2,F_023880_semitone_0,-20,0,20,43.3634072427689
95,2022-03-11,21-47-32,14,"(('H', '2'), ('J', '-2'))",H_009840_semitone_2,J_073060_semitone_-2,-20,0,20,58.60151351063021
96,2022-03-11,20-19-27,15,DF,D_003760,F_023880,0,0,0,56.04832192642124
97,2022-03-11,20-19-27,15,HJ,H_009840,J_073060,-10,0,10,50.91382220374224
98,2022-03-11,21-06-17,15,"(('D', '-2'), ('F', '1'))",D_003760_semitone_-2,F_023880_semitone_1,-20,0,20,43.83466876000652
99,2022-03-11,21-06-17,15,"(('H', '1'), ('J', '-2'))",H_009840_semitone_1,J_073060_semitone_-2,-10,0,10,55.09867673938561
100,2022-03-11,21-47-32,15,"(('D', '-2'), ('F', '0'))",D_003760_semitone_-2,F_023880_semitone_0,-20,0,20,43.3634072427689
